mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_decision_function_shape,param_class_weight,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1161.6161145210267,2.441574208369735,43.44061007499695,0.2995449362618687,rbf,0.8858667904100823,ovr,,0.004281332398719396,"{'kernel': 'rbf', 'gamma': 0.8858667904100823, 'decision_function_shape': 'ovr', 'class_weight': None, 'C': 0.004281332398719396}",0.002335590471807683,0.002398913567266833,0.002398913567266833,0.002335590471807683,0.002335590471807683,0.002360919709991343,3.10218545616935e-05,21
308.4322002410889,4.987838214105647,15.335107469558716,0.5345419758094733,poly,0.0069519279617756054,ovo,,112.88378916846884,"{'kernel': 'poly', 'gamma': 0.0069519279617756054, 'decision_function_shape': 'ovo', 'class_weight': None, 'C': 112.88378916846884}",0.8610292806170797,0.8611647130205365,0.857896573287608,0.8462050435225225,0.8492898896610513,0.8551171000217597,0.0062069977548531875,9
316.1709295749664,5.393177995681394,16.771617031097414,0.48922355678928325,poly,0.00379269019073225,ovo,balanced,112.88378916846884,"{'kernel': 'poly', 'gamma': 0.00379269019073225, 'decision_function_shape': 'ovo', 'class_weight': 'balanced', 'C': 112.88378916846884}",0.8636658214584529,0.8606266946299297,0.8595102542751833,0.8448239099891623,0.8516455147102991,0.8560544390126055,0.006875241362251071,7
987.7823389530182,2.561392633135434,27.06033773422241,0.6143244018040858,sigmoid,2.9763514416313193,ovr,balanced,112.88378916846884,"{'kernel': 'sigmoid', 'gamma': 2.9763514416313193, 'decision_function_shape': 'ovr', 'class_weight': 'balanced', 'C': 112.88378916846884}",0.001802658216706276,0.002031277455631699,0.0022134404707018817,0.002150537634408602,0.002033153058083806,0.002046213367106453,0.00014040030009572493,25
255.36972136497496,1.5294918575799963,28.687162494659425,0.5769242274674907,rbf,0.0006158482110660267,ovo,,2.976351441631316,"{'kernel': 'rbf', 'gamma': 0.0006158482110660267, 'decision_function_shape': 'ovo', 'class_weight': None, 'C': 2.976351441631316}",0.8402876023209538,0.8535538623828769,0.8243160751388375,0.8279822863110838,0.8272001697995602,0.8346679991906625,0.01091682492260955,15
1092.1451742172242,1.6606796818281013,39.811269760131836,1.28397916526455,rbf,0.26366508987303583,ovr,,0.6951927961775606,"{'kernel': 'rbf', 'gamma': 0.26366508987303583, 'decision_function_shape': 'ovr', 'class_weight': None, 'C': 0.6951927961775606}",0.5280376699873655,0.5147061492287237,0.5124890734380664,0.5120301266511343,0.5405116308846093,0.5215549300379798,0.011146298562854443,19
303.8558169841766,2.3184740409379154,15.21659345626831,0.534288454408606,poly,0.26366508987303583,ovo,,233.57214690901213,"{'kernel': 'poly', 'gamma': 0.26366508987303583, 'decision_function_shape': 'ovo', 'class_weight': None, 'C': 233.57214690901213}",0.8609032225874361,0.8569240587353604,0.8536298803248172,0.8398245140167613,0.846420509504127,0.8515404370337004,0.007543042082151573,10
154.70862588882446,3.5924480060911064,14.849168491363525,0.5080408066658141,linear,0.00379269019073225,ovr,,1000.0,"{'kernel': 'linear', 'gamma': 0.00379269019073225, 'decision_function_shape': 'ovr', 'class_weight': None, 'C': 1000.0}",0.8668388369921008,0.8566553731089297,0.8518683223135403,0.8448482247399486,0.8566474858580535,0.8553716486025145,0.007180360210344547,8
305.60499291419984,1.8131451692949714,15.631768846511841,0.5597026260772201,poly,1.623776739188721,ovo,balanced,0.00206913808111479,"{'kernel': 'poly', 'gamma': 1.623776739188721, 'decision_function_shape': 'ovo', 'class_weight': 'balanced', 'C': 0.00206913808111479}",0.8592534069202667,0.853394767319258,0.8542552172106098,0.8402942498832267,0.8435978014960053,0.8501590885658732,0.007075592462094646,12
301.6150751590729,2.857493045097955,16.042918062210084,0.8100058661525411,poly,0.26366508987303583,ovr,,112.88378916846884,"{'kernel': 'poly', 'gamma': 0.26366508987303583, 'decision_function_shape': 'ovr', 'class_weight': None, 'C': 112.88378916846884}",0.8609032225874361,0.8569240587353604,0.8536298803248172,0.8398245140167613,0.846420509504127,0.8515404370337004,0.007543042082151573,10
337.71377696990965,4.458505781078269,16.918353891372682,0.5157203620066448,poly,0.00379269019073225,ovo,,12.742749857031322,"{'kernel': 'poly', 'gamma': 0.00379269019073225, 'decision_function_shape': 'ovo', 'class_weight': None, 'C': 12.742749857031322}",0.8688386434161055,0.8637933270834571,0.8644730830065427,0.8420041156237412,0.8521328367945676,0.8582484011848829,0.009827746829477851,6
325.3018768310547,4.517811107617287,16.171784830093383,0.8168220887102492,poly,0.4832930238571752,ovo,balanced,233.57214690901213,"{'kernel': 'poly', 'gamma': 0.4832930238571752, 'decision_function_shape': 'ovo', 'class_weight': 'balanced', 'C': 233.57214690901213}",0.8596919208692002,0.8524362198643053,0.8532956216309013,0.8398816609396033,0.8391890949145475,0.8488989036437115,0.008048900638904583,13
1027.6709909439087,5.009526462201711,28.06113705635071,1.0697986875240562,sigmoid,2.9763514416313193,ovo,balanced,1000.0,"{'kernel': 'sigmoid', 'gamma': 2.9763514416313193, 'decision_function_shape': 'ovo', 'class_weight': 'balanced', 'C': 1000.0}",0.002403541282418235,0.0019728832926802467,0.002391987092082538,0.002411238201722083,0.0019737941344589545,0.002230688800672411,0.00021021501133693243,23
