mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_decision_function_shape,param_class_weight,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26.1080979347229,1.352216250259436,0.7790320873260498,0.05319926333298264,rbf,0.8858667904100823,ovr,,0.004281332398719396,"{'kernel': 'rbf', 'gamma': 0.8858667904100823, 'decision_function_shape': 'ovr', 'class_weight': None, 'C': 0.004281332398719396}",0.09101462735082425,0.09101462735082425,0.08906385344348343,0.09148132061895099,0.09148132061895099,0.09081114987660678,0.0008982325576399254,21
11.962961053848266,0.808096365358037,0.5112541198730469,0.08550151817097958,poly,0.0069519279617756054,ovo,,112.88378916846884,"{'kernel': 'poly', 'gamma': 0.0069519279617756054, 'decision_function_shape': 'ovo', 'class_weight': None, 'C': 112.88378916846884}",0.8889179127593453,0.8909937182291062,0.9108039923189205,0.9024300545377102,0.9292767771515458,0.9044844909993255,0.01471824423493418,7
11.4123140335083,0.36237859415191653,0.42812862396240237,0.07406838758993661,poly,0.00379269019073225,ovo,balanced,112.88378916846884,"{'kernel': 'poly', 'gamma': 0.00379269019073225, 'decision_function_shape': 'ovo', 'class_weight': 'balanced', 'C': 112.88378916846884}",0.8889179127593453,0.8909937182291062,0.9108039923189205,0.9024300545377102,0.9292767771515458,0.9044844909993255,0.01471824423493418,7
24.331500148773195,0.6501902152149058,0.9177532196044922,0.04156479186976505,sigmoid,2.9763514416313193,ovr,balanced,112.88378916846884,"{'kernel': 'sigmoid', 'gamma': 2.9763514416313193, 'decision_function_shape': 'ovr', 'class_weight': 'balanced', 'C': 112.88378916846884}",0.04613021776095661,0.04613021776095661,0.04613021776095661,0.04637345519461274,0.04637345519461274,0.046227512734419066,0.0001191615197603165,23
9.384992742538453,0.4723310370806675,0.5076372623443604,0.06846711625991732,rbf,0.0006158482110660267,ovo,,2.976351441631316,"{'kernel': 'rbf', 'gamma': 0.0006158482110660267, 'decision_function_shape': 'ovo', 'class_weight': None, 'C': 2.976351441631316}",0.8968254342428535,0.868786853632317,0.9126455569101465,0.8765475010428336,0.877147349367901,0.8863905390392104,0.01606502221297548,15
27.767333650588988,1.2507216890441457,0.918579387664795,0.25976197114171545,rbf,0.26366508987303583,ovr,,0.6951927961775606,"{'kernel': 'rbf', 'gamma': 0.26366508987303583, 'decision_function_shape': 'ovr', 'class_weight': None, 'C': 0.6951927961775606}",0.09101462735082425,0.09122289880929295,0.08947334242483279,0.09148132061895099,0.09169114016165503,0.09097666587311119,0.000785773891686834,20
11.314861297607422,0.9417193205543629,0.5057040214538574,0.10140085309420005,poly,0.26366508987303583,ovo,,233.57214690901213,"{'kernel': 'poly', 'gamma': 0.26366508987303583, 'decision_function_shape': 'ovo', 'class_weight': None, 'C': 233.57214690901213}",0.8889179127593453,0.8909937182291062,0.9108039923189205,0.9024300545377102,0.9292767771515458,0.9044844909993255,0.01471824423493418,7
5.898837995529175,0.19312743794755305,0.3841999053955078,0.04938462063250893,linear,0.00379269019073225,ovr,,1000.0,"{'kernel': 'linear', 'gamma': 0.00379269019073225, 'decision_function_shape': 'ovr', 'class_weight': None, 'C': 1000.0}",0.9165686194855045,0.9047235701697625,0.9296585224012606,0.8866779350559351,0.9148264476037079,0.910491018943234,0.014307010787813646,3
12.157735538482665,0.4982012749632637,0.44060573577880857,0.1086943539331069,poly,1.623776739188721,ovo,balanced,0.00206913808111479,"{'kernel': 'poly', 'gamma': 1.623776739188721, 'decision_function_shape': 'ovo', 'class_weight': 'balanced', 'C': 0.00206913808111479}",0.8889179127593453,0.8909937182291062,0.9108039923189205,0.9024300545377102,0.9292767771515458,0.9044844909993255,0.01471824423493418,7
12.1023606300354,1.0891853958813225,0.5428277969360351,0.10525985553614604,poly,0.26366508987303583,ovr,,112.88378916846884,"{'kernel': 'poly', 'gamma': 0.26366508987303583, 'decision_function_shape': 'ovr', 'class_weight': None, 'C': 112.88378916846884}",0.8889179127593453,0.8909937182291062,0.9108039923189205,0.9024300545377102,0.9292767771515458,0.9044844909993255,0.01471824423493418,7
11.783115196228028,1.1074326705711297,0.4509161949157715,0.10042432986049656,poly,0.00379269019073225,ovo,,12.742749857031322,"{'kernel': 'poly', 'gamma': 0.00379269019073225, 'decision_function_shape': 'ovo', 'class_weight': None, 'C': 12.742749857031322}",0.8861029756081313,0.8935564883228995,0.9098344878583741,0.8969025106116695,0.9150686163770829,0.9002930157556314,0.010654497923251953,13
12.129734420776368,0.6952880571395756,0.4307263851165771,0.09289243611454859,poly,0.4832930238571752,ovo,balanced,233.57214690901213,"{'kernel': 'poly', 'gamma': 0.4832930238571752, 'decision_function_shape': 'ovo', 'class_weight': 'balanced', 'C': 233.57214690901213}",0.8889179127593453,0.8909937182291062,0.9108039923189205,0.9024300545377102,0.9292767771515458,0.9044844909993255,0.01471824423493418,7
25.489350652694704,0.6224777088110129,0.7729963779449462,0.11500168278311655,sigmoid,2.9763514416313193,ovo,balanced,1000.0,"{'kernel': 'sigmoid', 'gamma': 2.9763514416313193, 'decision_function_shape': 'ovo', 'class_weight': 'balanced', 'C': 1000.0}",0.004920721705850191,0.004920721705850191,0.004920721705850191,0.04637345519461274,0.04637345519461274,0.02150181510135521,0.020307609098209722,25
